data;stazione;numPassaggio;codiceSpecie;lunghezza;peso;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;135;26;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;108;10;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;92;8;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;90;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;80;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;65;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;83;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;46;1;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;80;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;144;26;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;125;19;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;122;12;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;106;11;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;111;11;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;86;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;88;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;99;9;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;66;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;84;11;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;85;11;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;59;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;64;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;185;51;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;271;158;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;299;214;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;238;108;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;149;31;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;244;124;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;228;96;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;211;74;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;168;45;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;GH;81;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;TF;71;4;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;139;21;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;142;38;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;91;9;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;99;11;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;109;15;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;111;16;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;112;16;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;89;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;90;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;92;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;94;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;95;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;96;8;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;100;9;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;82;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;83;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;69;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;66;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;65;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;57;1;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;131;23;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;115;16;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;115;15;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;91;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;93;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;94;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;96;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;98;8;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;99;8;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;101;8;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;102;9;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;104;9;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;82;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;84;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;86;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;87;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;89;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;55;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;60;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;66;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;71;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;236;104;;;;;;;;;;;;;;;;;;;;;
